Altium Designer Pick and Place Locations
C:\Users\PS\Documents\CTI\AFC4\OH\afc\circuit_board\Project Outputs for AMC_FMC_Carrier v4\Pick Place\Pick Place for AMC_FMC_Carrier_v4(LNLS_FOFB).csv

========================================================================================================================
File Design Information:

Date:       27.08.21
Time:       10:51
Revision:   Not in VersionControl
Variant:    LNLS_FOFB
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C149","10uF","BottomLayer","CAPC2012X135N","-55.6768","7.2390","0","Non-polarised capacitor"
"C148","10uF","BottomLayer","CAPC2012X135N","-55.6768","9.6520","0","Non-polarised capacitor"
"C147","10uF","TopLayer","CAPC2012X135N","-55.6514","7.2390","0","Non-polarised capacitor"
"C146","10uF","BottomLayer","CAPC2012X135N","-58.5470","16.3576","180","Non-polarised capacitor"
"R103","10k","TopLayer","RESC1005X40N","-84.0500","1.2000","90","Resistor - 1%"
"R46","1k5","TopLayer","RESC1608X55N","-82.0050","-25.4250","0","Resistor - 1%"
"L7","3.3uH","BottomLayer","IND_WURTH_WE-PD4_L","-68.4276","1.3208","90","Inductor With Core"
"C145","1uF","TopLayer","CAPC1608X87N","-48.0250","107.8250","180","Non-polarised capacitor"
"C144","1uF","TopLayer","CAPC1608X87N","-63.8910","107.8130","0","Non-polarised capacitor"
"C143","1uF","TopLayer","CAPC1608X87N","-74.8000","107.8120","0","Non-polarised capacitor"
"C62","1uF","TopLayer","CAPC1608X87N","-42.2250","107.8250","0","Non-polarised capacitor"
"C51","1uF","TopLayer","CAPC1608X87N","-53.0750","107.8250","0","Non-polarised capacitor"
"C43","10uF","TopLayer","CAPC2012X135N","-51.8750","-26.1250","90","Non-polarised capacitor"
"C115","150uF","TopLayer","CAPMP7343X200N","-64.6500","-19.9500","0","Polarised capacitor"
"C135","150uF","TopLayer","CAPMP7343X200N","-54.3250","-19.9500","0","Polarised capacitor"
"C42","10uF","TopLayer","CAPC2012X135N","-77.7000","-3.3500","180","Non-polarised capacitor"
"C1A","22uF","TopLayer","CAPC3216X180N","-108.6000","101.0500","90","Non-polarised capacitor"
"LED15","Red","BottomLayer","LED_KINGBRIGHT_KPH-1608SURCK","-60.1980","-10.3124","90","LED Red 1C 2A"
"LED14","Red","BottomLayer","LED_KINGBRIGHT_KPH-1608SURCK","-62.2046","-10.3124","90","LED Red 1C 2A"
"LED11","Red","BottomLayer","LED_KINGBRIGHT_KPH-1608SURCK","-70.4088","-18.7452","90","LED Red 1C 2A"
"LED9","Red","BottomLayer","LED_KINGBRIGHT_KPH-1608SURCK","-84.5250","19.4500","180","LED Red 1C 2A"
"Q20","IRF9910TRPBF","BottomLayer","SOIC127P600X175-8N","-52.6250","-25.0500","90","Dual SO-8 MOSFET For POL Cconverter"
"Q19","IRF9910TRPBF","BottomLayer","SOIC127P600X175-8N","-66.1650","-25.6000","90","Dual SO-8 MOSFET For POL Cconverter"
"Q22","IRF9910TRPBF","BottomLayer","SOIC127P600X175-8N","-30.8250","-17.5000","90","Dual SO-8 MOSFET For POL Cconverter"
"Q21","IRF9910TRPBF","BottomLayer","SOIC127P600X175-8N","-44.3650","-18.0500","90","Dual SO-8 MOSFET For POL Cconverter"
"Q24","IRF9910TRPBF","BottomLayer","SOIC127P600X175-8N","-73.8800","-26.0500","90","Dual SO-8 MOSFET For POL Cconverter"
"R102","10k","TopLayer","RESC1005X40N","-133.8580","91.1352","180","Resistor - 1%"
"R101","10k","TopLayer","RESC1005X40N","-135.7750","94.1750","0","Resistor - 1%"
"R100","10k","TopLayer","RESC1005X40N","-135.9750","92.5250","0","Resistor - 1%"
"R99","10k","TopLayer","RESC1005X40N","-135.9500","91.3250","0","Resistor - 1%"
"R98","10k","TopLayer","RESC1005X40N","-164.0500","97.6500","180","Resistor - 1%"
"R97","10k","TopLayer","RESC1005X40N","-164.0750","96.0250","180","Resistor - 1%"
"R96","100","TopLayer","RESC1005X40N","-134.4676","82.4738","180","Resistor - 1%"
"R95","5k1","TopLayer","RESC1608X55N","-55.8500","-30.5750","90","Resistor - 1%"
"R94","0R002","TopLayer","RES_VISHAY_WSK2512_0R005-0R2","-53.1250","-9.8500","180","Power and Current Sensing Resistor"
"R93","510","BottomLayer","RESC1005X40N","-60.2000","-7.7000","90","Resistor - 1%"
"R92","10k","TopLayer","RESC1005X40N","-55.7530","-24.6634","90","Resistor - 1%"
"R91","1k3","TopLayer","RESC1608X55N","-56.7500","-23.0500","180","Resistor - 1%"
"R90","4k3","TopLayer","RESC1608X55N","-57.7500","-24.4250","0","Resistor - 1%"
"R89","0R002","TopLayer","RES_VISHAY_WSK2512_0R005-0R2","-63.6000","-9.9250","180","Power and Current Sensing Resistor"
"R88","510","BottomLayer","RESC1005X40N","-62.2000","-7.7000","90","Resistor - 1%"
"R87","5k1","TopLayer","RESC1608X55N","-62.6500","-30.5750","90","Resistor - 1%"
"R86","1k3","TopLayer","RESC1608X55N","-62.0000","-22.9000","0","Resistor - 1%"
"R85","10k","TopLayer","RESC1005X40N","-63.1952","-24.1554","180","Resistor - 1%"
"R84","4k3","TopLayer","RESC1608X55N","-60.7500","-24.4250","180","Resistor - 1%"
"R82","10k","TopLayer","RESC1005X40N","-98.0950","101.7000","0","Resistor - 1%"
"R81","2k2","TopLayer","RESC1005X40N","-92.8500","-20.2750","180","Resistor - 1%"
"R80","0","BottomLayer","RESC1005X40N","-54.6000","-30.7500","90","Resistor - 1%"
"R79","10k","BottomLayer","RESC1005X40N","-55.8500","-30.7500","270","Resistor - 1%"
"R78","10k","TopLayer","RESC1005X40N","-33.5534","-18.9484","0","Resistor - 1%"
"R77","510","BottomLayer","RESC1005X40N","-87.1750","19.5000","0","Resistor - 1%"
"R76","510","BottomLayer","RESC1005X40N","-90.1000","-12.5000","270","Resistor - 1%"
"R75","0R002","TopLayer","RES_VISHAY_WSK2512_0R005-0R2","-41.8000","-2.3750","180","Power and Current Sensing Resistor"
"R74","510","BottomLayer","RESC1005X40N","-40.4114","-0.2540","90","Resistor - 1%"
"R73","5k1","TopLayer","RESC1608X55N","-40.8500","-23.0250","90","Resistor - 1%"
"R72","3k3","TopLayer","RESC1608X55N","-77.1050","-31.5750","90","Resistor - 1%"
"R71","10k","TopLayer","RESC1005X40N","-39.6240","-15.6464","0","Resistor - 1%"
"R70","0","BottomLayer","RESC1005X40N","-76.3000","-31.8000","90","Resistor - 1%"
"R69","4k7","TopLayer","RESC1005X40N","-76.5048","-27.4066","0","Resistor - 1%"
"R66","510","BottomLayer","RESC1005X40N","-87.3000","21.0500","0","Resistor - 1%"
"R65","510","BottomLayer","RESC1005X40N","-70.4000","-16.0000","90","Resistor - 1%"
"R64","100k","TopLayer","RESC1005X40N","-77.2160","4.3434","180","Resistor - 1%"
"R63","2k49","TopLayer","RESC1608X55N","-71.4400","5.1080","180","Resistor - 0.1%"
"R62","24k9","TopLayer","RESC1608X55N","-65.4505","8.5455","90","Resistor - 0.1%"
"R61","10k","TopLayer","RESC1005X40N","-72.9250","1.5000","90","Resistor - 1%"
"R55","10k","BottomLayer","RESC1005X40N","-77.2250","-31.8000","270","Resistor - 1%"
"R54","1k3","TopLayer","RESC1608X55N","-78.0050","-24.0500","180","Resistor - 1%"
"R53","4k3","TopLayer","RESC1608X55N","-79.0050","-25.4250","0","Resistor - 1%"
"R50","4k7","TopLayer","RESC1005X40N","-83.9050","-31.5750","90","Resistor - 1%"
"R49","4k7","TopLayer","RESC1005X40N","-84.4550","-25.1460","180","Resistor - 1%"
"R48","1k6","TopLayer","RESC1608X55N","-83.2550","-23.9000","180","Resistor - 1%"
"R42","5k1","TopLayer","RESC1608X55N","-127.6250","16.8750","0","Resistor - 1%"
"R41","5k1","TopLayer","RESC1608X55N","-117.1250","102.9000","270","Resistor - 1%"
"R40","10k","TopLayer","RESC1005X40N","-127.5250","20.0250","180","Resistor - 1%"
"R39","10k","TopLayer","RESC1005X40N","-132.5000","97.7250","0","Resistor - 1%"
"R38","10k","TopLayer","RESC1005X40N","-127.1778","25.1460","0","Resistor - 1%"
"R37","10k","TopLayer","RESC1005X40N","-131.1402","92.7100","0","Resistor - 1%"
"R24","330","TopLayer","RESC1005X40N","-136.1750","95.3250","0","Resistor - 1%"
"R23","330","TopLayer","RESC1005X40N","-136.1500","96.2250","0","Resistor - 1%"
"R22","4k7","TopLayer","RESC1005X40N","-136.1250","97.1750","0","Resistor - 1%"
"R21","4k7","TopLayer","RESC1005X40N","-136.0750","98.2000","0","Resistor - 1%"
"R20","4k7","TopLayer","RESC1005X40N","-140.0810","99.8728","90","Resistor - 1%"
"R18","100","TopLayer","RESC1005X40N","-161.9250","96.6000","0","Resistor - 1%"
"R17","100","TopLayer","RESC1005X40N","-161.9251","97.6000","0","Resistor - 1%"
"R16","100","TopLayer","RESC1005X40N","-138.1500","91.3500","180","Resistor - 1%"
"R15","100","TopLayer","RESC1005X40N","-138.1500","92.3250","180","Resistor - 1%"
"R14","100","TopLayer","RESC1005X40N","-138.1500","93.3750","180","Resistor - 1%"
"R13","100","TopLayer","RESC1005X40N","-138.1500","94.3250","180","Resistor - 1%"
"R12","100","TopLayer","RESC1005X40N","-138.1500","95.3250","180","Resistor - 1%"
"R11","100","TopLayer","RESC1005X40N","-138.1500","96.2500","180","Resistor - 1%"
"R10","100","TopLayer","RESC1005X40N","-140.5128","101.4222","180","Resistor - 1%"
"R9","100","TopLayer","RESC1005X40N","-138.1500","97.1750","180","Resistor - 1%"
"R8","100","TopLayer","RESC1005X40N","-138.1500","98.1500","180","Resistor - 1%"
"R7","100","TopLayer","RESC1005X40N","-138.1250","99.2000","180","Resistor - 1%"
"R5","10k","TopLayer","RESC1005X40N","-144.7800","104.6734","270","Resistor - 1%"
"R4","10k","TopLayer","RESC1005X40N","-142.9004","104.6734","90","Resistor - 1%"
"R3","10k","TopLayer","RESC1005X40N","-143.8400","104.6742","90","Resistor - 1%"
"R2","10k","TopLayer","RESC1005X40N","-139.4206","89.9922","90","Resistor - 1%"
"Q6","BC847B","BottomLayer","SOT95P230X110-3N","-84.7418","16.9000","180","NPN Transistor"
"Q5","BC847B","TopLayer","SOT95P230X110-3N","-93.8784","-16.7316","270","NPN Transistor"
"Q4","BSS138LT1G","TopLayer","SOT95P240X110-3N","-127.6000","22.6750","90","N-CHANNEL MOSFET WITH DIODE"
"Q3","BSS138LT1G","TopLayer","SOT95P240X110-3N","-132.7250","95.1750","270","N-CHANNEL MOSFET WITH DIODE"
"Q2","IRF9317TRPBF","TopLayer","SOIC127P600X175-8N","-124.1222","28.6766","0","-30V -16A P-Channel HEXFET® Power MOSFET"
"Q1","IRF9317TRPBF","TopLayer","SOIC127P600X175-8N","-126.4666","90.5002","0","-30V -16A P-Channel HEXFET® Power MOSFET"
"LED13","Red","BottomLayer","LED_KINGBRIGHT_KPH-1608SURCK","-38.3772","-2.8978","90","LED Red 1C 2A"
"LED12","Red","BottomLayer","LED_KINGBRIGHT_KPH-1608SURCK","-40.3932","-2.8818","90","LED Red 1C 2A"
"LED7","Red","TopLayer","LED_KINGBRIGHT_KPH-1608SURCK","-126.7500","18.5500","180","LED Red 1C 2A"
"LED6","Red","TopLayer","LED_KINGBRIGHT_KPH-1608SURCK","-117.3500","106.6750","270","LED Red 1C 2A"
"L6","1.5uH","BottomLayer","IND_TDK_SPM6530","-53.8250","-18.0000","180","Inductor With Core"
"L5","1.5uH","BottomLayer","IND_TDK_SPM6530","-65.1918","-18.2380","180","Inductor With Core"
"L3","1.5uH","BottomLayer","IND_TDK_SPM6530","-43.3918","-10.6880","180","Inductor With Core"
"L2","3.3uH","BottomLayer","IND_WURTH_WE-PD4_L","-78.9686","1.2700","90","Inductor With Core"
"L1","1.5uH","BottomLayer","IND_TDK_SPM6530","-86.4468","-19.2380","180","Inductor With Core"
"IC12","TPS53126RGET","BottomLayer","QFN50P400X400X100-25N-S255","-59.2488","-26.3794","270","Dual Synchronous Step-Down Controller For Low Voltage Power Rails"
"IC11","AD8402ARZ1","TopLayer","SOIC127P600X175-14N","-36.4820","-30.0990","0","2-Channel 1k Digital Potentiometer"
"IC10","TPS53126RGET","BottomLayer","QFN50P400X400X100-25N-S255","-37.4488","-18.8294","270","Dual Synchronous Step-Down Controller For Low Voltage Power Rails"
"IC5","BZA462A","BottomLayer","SOT95P275X110-6N","-9.5500","-19.0750","180","Quadruple ESD Transient Voltage Suppressor"
"IC4","BZA462A","BottomLayer","SOT95P275X110-6N","-7.9756","10.2870","0","Quadruple ESD Transient Voltage Suppressor"
"IC2","XC7A200T-3FFG1156C","BottomLayer","BGA1156C100P34X34_3500X3500X335","-69.4436","65.5828","270","Artix-6 FPGA, 16 GTPs, 600 User I/Os, 1156-Pin BGA, Speed Grade 2, Commercial Grade, Pb-Free"
"FB1","220R@100MHz","TopLayer","INDC2012X105N","-148.4630","106.9340","0","Inductor"
"D2","SS16","BottomLayer","DIOM5127X229N","-17.7800","-30.9880","0","Schottky Diode"
"C142","22uF","TopLayer","CAPC3216X180N","-58.3750","-10.2500","270","Non-polarised capacitor"
"C139","22uF","BottomLayer","CAPC3216X180N","-58.3000","-10.2500","270","Non-polarised capacitor"
"C137","22uF","TopLayer","CAPC3216X180N","-53.2250","-15.0500","270","Non-polarised capacitor"
"C136","22uF","TopLayer","CAPC3216X180N","-50.9750","-15.0496","270","Non-polarised capacitor"
"C133","100nF","TopLayer","CAPC1005X55N","-57.2988","-26.1294","90","Non-polarised capacitor"
"C130","1uF","BottomLayer","CAPC1608X87N","-69.7230","-23.5204","270","Non-polarised capacitor"
"C127","1uF","BottomLayer","CAPC1608X87N","-57.0500","-31.3250","90","Non-polarised capacitor"
"C126","1uF","BottomLayer","CAPC1608X87N","-60.4520","-31.1912","90","Non-polarised capacitor"
"C123","22uF","BottomLayer","CAPC3216X180N","-58.7750","-32.1254","90","Non-polarised capacitor"
"C122","22uF","TopLayer","CAPC3216X180N","-68.8750","-10.2996","270","Non-polarised capacitor"
"C119","22uF","BottomLayer","CAPC3216X180N","-68.7750","-10.3000","270","Non-polarised capacitor"
"C117","22uF","TopLayer","CAPC3216X180N","-61.2750","-15.0000","270","Non-polarised capacitor"
"C116","22uF","TopLayer","CAPC3216X180N","-63.5250","-15.0004","270","Non-polarised capacitor"
"C113","100nF","TopLayer","CAPC1005X55N","-61.1988","-26.1294","90","Non-polarised capacitor"
"C108","1uF","BottomLayer","CAPC1608X87N","-56.0578","-23.3934","270","Non-polarised capacitor"
"C92","1uF","TopLayer","CAPC1608X87N","-80.3250","107.7620","0","Non-polarised capacitor"
"C91","1uF","BottomLayer","CAPC1608X87N","-35.2500","-23.7750","90","Non-polarised capacitor"
"C90","1uF","BottomLayer","CAPC1608X87N","-38.6842","-23.6220","90","Non-polarised capacitor"
"C87","22uF","BottomLayer","CAPC3216X180N","-36.9750","-24.5754","90","Non-polarised capacitor"
"C86","150uF","TopLayer","CAPMP7343X200N","-42.8500","-12.4000","0","Polarised capacitor"
"C85","22uF","TopLayer","CAPC3216X180N","-47.0500","-2.7500","270","Non-polarised capacitor"
"C81","22uF","TopLayer","CAPC3216X180N","-41.7250","-7.4504","270","Non-polarised capacitor"
"C79","22uF","TopLayer","CAPC3216X180N","-39.4750","-7.4500","270","Non-polarised capacitor"
"C77","100nF","TopLayer","CAPC1005X55N","-39.3988","-18.5794","90","Non-polarised capacitor"
"C72","1uF","BottomLayer","CAPC1608X87N","-47.8536","-15.8496","270","Non-polarised capacitor"
"C71","22uF","BottomLayer","CAPC3216X180N","-74.2545","16.8745","180","Non-polarised capacitor"
"C68","1uF","TopLayer","CAPC1608X87N","-63.7000","0.1000","90","Non-polarised capacitor"
"C66","10uF","TopLayer","CAPC2012X135N","-67.8500","-3.1750","180","Non-polarised capacitor"
"C64","150uF","BottomLayer","CAPMP7343X200N","-87.3346","7.9750","180","Polarised capacitor"
"C60","10nF","TopLayer","CAPC1005X55N","-68.9000","4.9430","180","Non-polarised capacitor"
"C55","150uF","BottomLayer","CAPMP7343X200N","-67.0000","15.6500","0","Polarised capacitor"
"C54","10uF","BottomLayer","CAPC2012X135N","-73.2250","11.5750","90","Non-polarised capacitor"
"C53","150pF","TopLayer","CAPC1608X87N","-67.0255","8.5205","270","Non-polarised capacitor"
"C50","150uF","BottomLayer","CAPMP7343X200N","-66.9500","10.8000","0","Polarised capacitor"
"C49","1uF","TopLayer","CAPC1608X87N","-58.8410","107.8130","180","Non-polarised capacitor"
"C48","10uF","TopLayer","CAPC2012X135N","-65.3000","-26.6000","90","Non-polarised capacitor"
"C47","22uF","BottomLayer","CAPC3216X180N","-80.1250","11.9250","90","Non-polarised capacitor"
"C45","10uF","TopLayer","CAPC2012X135N","-59.2750","-29.4750","270","Non-polarised capacitor"
"C44","1uF","TopLayer","CAPC1608X87N","-74.3500","-0.2500","90","Non-polarised capacitor"
"C41","150uF","BottomLayer","CAPMP7343X200N","-87.3346","12.8016","180","Polarised capacitor"
"C40","10uF","TopLayer","CAPC2012X135N","-30.0750","-18.5750","90","Non-polarised capacitor"
"C35","10nF","TopLayer","CAPC1005X55N","-79.6950","7.1400","90","Non-polarised capacitor"
"C34","10uF","BottomLayer","CAPC2012X135N","-75.6500","11.6000","90","Non-polarised capacitor"
"C32","1uF","TopLayer","CAPC1608X87N","-69.7500","107.8120","180","Non-polarised capacitor"
"C28","100nF","TopLayer","CAPC0603X33N","-148.8250","103.4000","270","Non-polarised capacitor"
"C27","100nF","TopLayer","CAPC0603X33N","-158.9500","91.9000","270","Non-polarised capacitor"
"C26","100nF","TopLayer","CAPC0603X33N","-154.3500","83.9500","90","Non-polarised capacitor"
"C25","100nF","TopLayer","CAPC0603X33N","-140.7000","97.9250","270","Non-polarised capacitor"
"C24","100nF","TopLayer","CAPC0603X33N","-151.8500","102.8500","180","Non-polarised capacitor"
"C23","100nF","TopLayer","CAPC0603X33N","-145.6000","84.5500","180","Non-polarised capacitor"
"C22","100nF","TopLayer","CAPC0603X33N","-159.3250","98.1000","0","Non-polarised capacitor"
"C21","100nF","TopLayer","CAPC0603X33N","-140.6750","91.4250","90","Non-polarised capacitor"
"C19","22pF","TopLayer","CAPC1005X55N","-157.3794","104.7500","0","Non-polarised capacitor"
"C18","22pF","TopLayer","CAPC1005X55N","-150.0250","104.4500","90","Non-polarised capacitor"
"C7A","22uF","TopLayer","CAPC3216X180N","-115.2000","99.3000","180","Non-polarised capacitor"
"J15A","VITA 57","BottomLayer","SAMTEC_ASP-134486-01","-110.8375","72.4301","270","Connector VITA 57, 400 Female contacts in 10 row abcdefghj"
"C17A","1uF","TopLayer","CAPC1608X87N","-116.9250","86.2250","270","Non-polarised capacitor"
"C16A","1uF","TopLayer","CAPC1608X87N","-118.4250","86.2250","270","Non-polarised capacitor"
"C13A","1uF","TopLayer","CAPC1608X87N","-123.0750","100.4250","90","Non-polarised capacitor"
"C15A","100nF","TopLayer","CAPC0603X33N","-106.4000","93.6000","180","Non-polarised capacitor"
"C14A","1uF","TopLayer","CAPC1608X87N","-121.4250","100.4250","90","Non-polarised capacitor"
"C12A","10uF","TopLayer","CAPC2012X135N","-119.7864","100.3046","90","Non-polarised capacitor"
"C11A","100nF","TopLayer","CAPC0603X33N","-106.4000","91.9000","180","Non-polarised capacitor"
"C8A","1uF","TopLayer","CAPC1608X87N","-115.4250","96.6750","180","Non-polarised capacitor"
"C6A","100nF","TopLayer","CAPC0603X33N","-108.8250","93.2500","270","Non-polarised capacitor"
"C5A","22uF","TopLayer","CAPC3216X180N","-105.9000","101.0750","90","Non-polarised capacitor"
"C3A","1uF","TopLayer","CAPC1608X87N","-105.2500","97.5500","0","Non-polarised capacitor"
"C2A","1uF","TopLayer","CAPC1608X87N","-105.2750","94.9750","0","Non-polarised capacitor"
"C10A","100nF","TopLayer","CAPC0603X33N","-110.2360","96.9264","270","Non-polarised capacitor"
"C9A","1uF","TopLayer","CAPC1608X87N","-112.2750","99.8000","90","Non-polarised capacitor"
"C4A","100nF","TopLayer","CAPC0603X33N","-108.9000","97.3750","0","Non-polarised capacitor"
"BAT1","SR60  battery","BottomLayer","SR60","-580.6000","-436.7500","270","SR60 6.8x2.15mm Battery 1.5V, 15mAh"
"BH1","Value","BottomLayer","BATH_KEYSTONE_2998","-99.8738","105.4608","180","Battery Holder whit 2 Pin"
"C178","100nF","TopLayer","CAPC0603X33N","-100.6750","50.5000","0","Non-polarised capacitor"
"C179","100nF","TopLayer","CAPC0603X33N","-100.6750","49.9000","0","Non-polarised capacitor"
"C180","100nF","TopLayer","CAPC0603X33N","-100.6750","54.9550","0","Non-polarised capacitor"
"C181","100nF","TopLayer","CAPC0603X33N","-100.6750","55.6050","0","Non-polarised capacitor"
"C182","100nF","TopLayer","CAPC0603X33N","-102.8000","72.4000","0","Non-polarised capacitor"
"C183","100nF","TopLayer","CAPC0603X33N","-102.8000","71.7500","0","Non-polarised capacitor"
"C184","100nF","TopLayer","CAPC0603X33N","-92.0250","67.9250","0","Non-polarised capacitor"
"C185","100nF","TopLayer","CAPC0603X33N","-92.0250","68.5750","0","Non-polarised capacitor"
"C186","100nF","TopLayer","CAPC0603X33N","-100.2008","48.6250","0","Non-polarised capacitor"
"C187","100nF","TopLayer","CAPC0603X33N","-100.2008","49.2250","0","Non-polarised capacitor"
"C188","100nF","TopLayer","CAPC0603X33N","-101.9450","52.4150","0","Non-polarised capacitor"
"C189","100nF","TopLayer","CAPC0603X33N","-101.9450","53.0650","0","Non-polarised capacitor"
"C190","100nF","TopLayer","CAPC0603X33N","-91.8250","70.3750","0","Non-polarised capacitor"
"C191","100nF","TopLayer","CAPC0603X33N","-91.8250","69.7500","0","Non-polarised capacitor"
"C192","100nF","TopLayer","CAPC0603X33N","-98.1850","53.6850","0","Non-polarised capacitor"
"C193","100nF","TopLayer","CAPC0603X33N","-98.1850","54.3350","0","Non-polarised capacitor"
"C194","100nF","TopLayer","CAPC0603X33N","-91.4250","72.6500","0","Non-polarised capacitor"
"C195","100nF","TopLayer","CAPC0603X33N","-91.4250","72.0000","0","Non-polarised capacitor"
"C196","100nF","BottomLayer","CAPC0603X33N","-101.3250","60.0250","0","Non-polarised capacitor"
"C197","100nF","BottomLayer","CAPC0603X33N","-101.3250","60.6750","0","Non-polarised capacitor"
"C208","15pF","TopLayer","CAPC1005X55N","-90.8450","102.1250","270","Non-polarised capacitor"
"C209","1uF","TopLayer","CAPC1608X87N","-54.9250","11.5000","0","Non-polarised capacitor"
"C210","1uF","BottomLayer","CAPC1608X87N","-54.9250","11.5000","180","Non-polarised capacitor"
"C220","100nF","BottomLayer","CAPC0603X33N","-39.7750","60.2250","180","Non-polarised capacitor"
"C226","100uF","BottomLayer","CAPC3225X270N","-69.9444","37.9988","270","Non-polarised capacitor"
"C229","220nF","TopLayer","CAPC0603X33N","-62.8500","62.0750","90","Non-polarised capacitor"
"C230","150uF","BottomLayer","CAPMP7343X200N","-97.9000","45.2500","180","Polarised capacitor"
"C231","150uF","BottomLayer","CAPMP7343X200N","-40.1250","78.0250","90","Polarised capacitor"
"C232","220nF","TopLayer","CAPC0603X33N","-62.8500","69.0750","90","Non-polarised capacitor"
"C233","220nF","TopLayer","CAPC0603X33N","-61.8750","61.1000","90","Non-polarised capacitor"
"C234","220nF","TopLayer","CAPC0603X33N","-60.9500","69.0000","180","Non-polarised capacitor"
"C235","220nF","TopLayer","CAPC0603X33N","-75.8500","69.0750","90","Non-polarised capacitor"
"C236","220nF","TopLayer","CAPC0603X33N","-76.8500","68.0750","90","Non-polarised capacitor"
"C237","4.7uF","BottomLayer","CAPC1608X87N","-81.3000","37.3000","0","Non-polarised capacitor"
"C238","4.7uF","BottomLayer","CAPC1608X87N","-80.1500","41.0000","270","Non-polarised capacitor"
"C239","220nF","TopLayer","CAPC0603X33N","-63.8500","69.0750","270","Non-polarised capacitor"
"C240","220nF","TopLayer","CAPC0603X33N","-67.0250","68.0750","90","Non-polarised capacitor"
"C241","220nF","TopLayer","CAPC0603X33N","-65.8750","69.0750","270","Non-polarised capacitor"
"C242","220nF","TopLayer","CAPC0603X33N","-62.8500","64.0750","90","Non-polarised capacitor"
"C243","220nF","TopLayer","CAPC0603X33N","-67.9436","61.0828","90","Non-polarised capacitor"
"C244","220nF","TopLayer","CAPC0603X33N","-70.9436","61.0828","90","Non-polarised capacitor"
"C245","220nF","TopLayer","CAPC0603X33N","-71.9500","63.5750","270","Non-polarised capacitor"
"C246","220nF","TopLayer","CAPC0603X33N","-67.9500","63.5750","270","Non-polarised capacitor"
"C247","220nF","TopLayer","CAPC0603X33N","-66.0250","64.0250","180","Non-polarised capacitor"
"C248","220nF","TopLayer","CAPC0603X33N","-74.9500","64.5000","270","Non-polarised capacitor"
"C249","220nF","TopLayer","CAPC0603X33N","-64.9436","64.0828","270","Non-polarised capacitor"
"C250","220nF","TopLayer","CAPC0603X33N","-72.9500","63.5750","270","Non-polarised capacitor"
"C251","22nF","TopLayer","CAPC0603X33N","-54.9500","70.1500","180","Non-polarised capacitor"
"C252","22nF","TopLayer","CAPC0603X33N","-80.5500","64.0750","180","Non-polarised capacitor"
"C253","22nF","TopLayer","CAPC0603X33N","-56.9500","68.0000","180","Non-polarised capacitor"
"C254","22nF","TopLayer","CAPC0603X33N","-59.9436","68.0828","0","Non-polarised capacitor"
"C255","100nF","TopLayer","CAPC0603X33N","-55.9436","65.0828","180","Non-polarised capacitor"
"C256","100nF","TopLayer","CAPC0603X33N","-82.4500","69.0750","180","Non-polarised capacitor"
"C257","100nF","TopLayer","CAPC0603X33N","-52.9436","62.0828","180","Non-polarised capacitor"
"C258","100nF","TopLayer","CAPC0603X33N","-84.8000","69.0750","0","Non-polarised capacitor"
"C259","22nF","TopLayer","CAPC0603X33N","-82.4500","70.0750","180","Non-polarised capacitor"
"C260","470nF","TopLayer","CAPC0603X33N","-75.5250","70.1000","180","Non-polarised capacitor"
"C261","470nF","TopLayer","CAPC0603X33N","-71.9436","72.0828","0","Non-polarised capacitor"
"C262","100nF","TopLayer","CAPC0603X33N","-80.9500","62.0750","180","Non-polarised capacitor"
"C263","100nF","TopLayer","CAPC0603X33N","-78.9436","63.0828","180","Non-polarised capacitor"
"C264","220nF","TopLayer","CAPC0603X33N","-72.9436","61.0828","90","Non-polarised capacitor"
"C265","220nF","TopLayer","CAPC0603X33N","-65.9436","61.0828","90","Non-polarised capacitor"
"C266","220nF","TopLayer","CAPC0603X33N","-74.9500","59.5750","90","Non-polarised capacitor"
"C267","4.7uF","TopLayer","CAPC1608X87N","-58.7500","65.5750","0","Non-polarised capacitor"
"C268","4.7uF","TopLayer","CAPC1608X87N","-81.4436","65.5828","180","Non-polarised capacitor"
"C269","220nF","TopLayer","CAPC0603X33N","-64.9500","59.5750","90","Non-polarised capacitor"
"C270","220nF","TopLayer","CAPC0603X33N","-72.9500","59.5750","90","Non-polarised capacitor"
"C271","220nF","TopLayer","CAPC0603X33N","-73.9500","70.5750","90","Non-polarised capacitor"
"C272","4.7uF","TopLayer","CAPC1608X87N","-78.1500","65.5750","180","Non-polarised capacitor"
"C316","100nF","TopLayer","CAPC0603X33N","-152.1000","73.9250","270","Non-polarised capacitor"
"C315","100nF","TopLayer","CAPC0603X33N","-151.7904","0.3302","90","Non-polarised capacitor"
"C314","100nF","TopLayer","CAPC0603X33N","-49.1250","-25.5750","315","Non-polarised capacitor"
"C313","100nF","TopLayer","CAPC0603X33N","-30.9500","85.7000","0","Non-polarised capacitor"
"IC18","MAX6642ATT90+T","BottomLayer","SON95P300X300X80-7N-R160X240","-39.0638","48.4886","0","±1°C, SMBus-Compatible Remote/Local Temperature Sensor with Overtemperature Alarm"
"LED16","Red","TopLayer","LED_KINGBRIGHT_KPH-1608SURCK","-158.3944","81.3054","90","LED Red 1C 2A"
